Iteration,Improved path distance,Iteration path,Execution time,Total travel distance,Number of vehicles used
0,2131.117652055466,"0, 0, 20, 21, 0, 25, 27, 0, 22, 0, 67, 65, 63, 62, 66, 69, 0, 23, 0, 98, 99, 0, 24, 26, 0, 64, 0, 5, 3, 4, 1, 0, 75, 0, 49, 47, 0, 7, 8, 9, 6, 0, 89, 0, 43, 42, 41, 40, 44, 45, 0, 48, 0, 10, 11, 51, 50, 52, 0, 28, 0, 74, 61, 0, 29, 30, 34, 0, 46, 68, 0, 2, 0, 90, 87, 86, 84, 85, 88, 91, 0, 72, 59, 0, 13, 17, 18, 19, 16, 14, 12, 0, 32, 33, 31, 35, 37, 38, 39, 36, 0, 82, 0, 83, 77, 79, 0, 94, 92, 93, 97, 100, 0, 95, 0, 57, 55, 54, 53, 56, 58, 60, 80, 0, 15, 0, 96, 73, 0, 81, 78, 76, 71, 70, 0",0.392,2131.12,34
1,1950.7644702609148,"0, 0, 43, 42, 41, 40, 44, 48, 0, 20, 22, 21, 0, 67, 65, 63, 62, 74, 61, 64, 68, 69, 0, 23, 0, 24, 25, 27, 28, 26, 0, 75, 0, 87, 86, 91, 0, 9, 6, 4, 0, 5, 3, 7, 8, 11, 0, 49, 47, 0, 10, 1, 0, 97, 100, 99, 0, 2, 0, 29, 30, 34, 0, 95, 0, 52, 0, 66, 0, 46, 45, 50, 0, 90, 94, 93, 0, 55, 0, 72, 59, 0, 89, 0, 32, 33, 31, 35, 37, 38, 39, 36, 0, 57, 54, 53, 56, 58, 60, 51, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 92, 0, 85, 88, 0, 96, 0, 98, 84, 0, 83, 82, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0",0.574,1950.76,32
2,1721.6147925026983,"0, 0, 20, 21, 0, 67, 65, 63, 62, 66, 69, 0, 72, 61, 64, 68, 0, 30, 28, 26, 23, 22, 0, 24, 25, 27, 29, 52, 0, 5, 7, 0, 75, 0, 43, 42, 41, 40, 44, 45, 0, 90, 87, 86, 88, 89, 91, 0, 10, 11, 9, 6, 4, 0, 35, 37, 38, 39, 36, 34, 0, 49, 47, 0, 2, 1, 0, 46, 48, 51, 50, 0, 85, 0, 74, 0, 3, 8, 0, 13, 17, 18, 19, 14, 0, 98, 99, 0, 32, 33, 31, 59, 0, 83, 82, 84, 0, 57, 55, 54, 53, 56, 58, 60, 0, 96, 95, 97, 0, 15, 16, 12, 0, 94, 93, 0, 92, 100, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0",0.755,1721.61,28
9,1692.0808698481367,"0, 0, 20, 21, 0, 67, 65, 63, 62, 66, 69, 0, 5, 7, 0, 72, 61, 64, 68, 49, 47, 0, 83, 82, 84, 85, 88, 89, 91, 0, 24, 25, 27, 29, 30, 28, 26, 23, 22, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 75, 0, 3, 4, 0, 43, 42, 44, 45, 51, 50, 52, 0, 10, 11, 9, 6, 0, 74, 0, 57, 55, 54, 53, 56, 58, 60, 59, 0, 46, 48, 0, 90, 87, 86, 0, 94, 93, 0, 2, 1, 0, 8, 99, 0, 41, 40, 0, 98, 95, 0, 32, 33, 31, 35, 37, 38, 36, 34, 0, 96, 97, 100, 0, 92, 0, 77, 79, 80, 0, 81, 78, 76, 71, 70, 73, 0, 39, 0",1.958,1692.08,27
11,1551.9897028270996,"0, 0, 69, 0, 20, 21, 0, 67, 65, 63, 62, 61, 64, 68, 47, 0, 24, 22, 0, 10, 11, 9, 6, 4, 0, 5, 3, 7, 8, 2, 1, 75, 0, 23, 0, 25, 27, 29, 30, 28, 26, 34, 0, 52, 49, 0, 43, 42, 44, 45, 48, 50, 0, 90, 87, 86, 88, 89, 91, 0, 32, 33, 31, 35, 37, 38, 39, 36, 0, 41, 40, 46, 51, 0, 74, 72, 66, 0, 13, 17, 18, 19, 15, 14, 0, 83, 82, 84, 85, 0, 98, 95, 94, 93, 0, 96, 97, 100, 99, 0, 59, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0, 57, 55, 54, 53, 56, 58, 60, 0, 92, 12, 0, 16, 0",2.302,1551.99,24
13,1494.2646974312668,"0, 0, 10, 11, 9, 6, 4, 0, 20, 21, 0, 67, 65, 63, 62, 66, 69, 0, 23, 22, 0, 24, 25, 27, 29, 30, 28, 26, 34, 0, 5, 3, 7, 8, 2, 1, 75, 0, 74, 72, 61, 64, 68, 0, 43, 42, 41, 40, 44, 45, 48, 50, 52, 49, 47, 0, 90, 87, 86, 83, 82, 84, 85, 88, 89, 91, 0, 46, 51, 0, 100, 99, 0, 13, 17, 18, 19, 14, 12, 0, 98, 95, 97, 0, 39, 36, 0, 32, 33, 31, 35, 37, 38, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0, 57, 55, 54, 53, 56, 58, 60, 59, 0, 96, 94, 93, 0, 16, 0, 15, 0, 92, 0",2.634,1494.26,22
14,1446.8979776084436,"0, 0, 20, 21, 0, 67, 65, 63, 62, 66, 69, 0, 68, 0, 43, 49, 47, 0, 23, 22, 0, 24, 25, 27, 29, 30, 28, 26, 2, 1, 75, 0, 5, 3, 7, 8, 9, 6, 4, 0, 10, 11, 0, 41, 40, 44, 45, 48, 51, 50, 52, 0, 90, 87, 86, 83, 82, 84, 85, 88, 89, 91, 0, 72, 61, 64, 0, 32, 33, 31, 35, 37, 39, 36, 34, 0, 98, 99, 0, 74, 0, 46, 0, 57, 55, 54, 53, 56, 58, 60, 59, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 97, 100, 0, 42, 38, 0, 94, 93, 0, 96, 95, 92, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0",2.798,1446.9,23
20,1259.653183483733,"0, 0, 20, 21, 0, 67, 65, 63, 62, 66, 69, 0, 23, 22, 0, 24, 25, 27, 29, 30, 28, 26, 49, 47, 0, 10, 11, 9, 6, 4, 0, 74, 72, 61, 64, 68, 50, 52, 0, 5, 3, 7, 8, 2, 1, 75, 0, 43, 42, 41, 40, 44, 45, 48, 51, 0, 95, 94, 92, 93, 97, 100, 99, 0, 46, 59, 0, 90, 87, 86, 88, 89, 91, 0, 98, 96, 85, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0, 57, 55, 54, 53, 56, 58, 60, 80, 0, 83, 82, 84, 0, 81, 78, 76, 71, 70, 73, 77, 79, 0",3.775,1259.65,18
27,1207.2900917079874,"0, 0, 20, 21, 0, 67, 65, 63, 62, 66, 69, 0, 23, 22, 0, 24, 25, 27, 29, 30, 28, 26, 34, 0, 10, 11, 9, 6, 4, 0, 41, 40, 44, 45, 48, 51, 50, 52, 49, 47, 0, 5, 3, 7, 8, 2, 1, 75, 0, 32, 33, 31, 35, 37, 38, 39, 36, 0, 43, 42, 46, 68, 0, 74, 72, 61, 64, 0, 90, 87, 86, 88, 89, 91, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0, 85, 0, 83, 82, 84, 59, 0, 57, 55, 54, 53, 56, 58, 60, 0",4.873,1207.29,18
34,1147.8882403129676,"0, 0, 20, 21, 0, 67, 65, 63, 62, 66, 69, 0, 23, 22, 0, 41, 40, 44, 45, 48, 50, 52, 49, 47, 0, 24, 25, 27, 29, 30, 28, 26, 34, 0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 1, 75, 0, 43, 42, 46, 51, 0, 90, 87, 86, 88, 89, 91, 0, 74, 72, 61, 64, 68, 0, 2, 0, 85, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 57, 55, 54, 53, 56, 58, 60, 59, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 32, 33, 31, 35, 37, 38, 39, 36, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0, 83, 82, 84, 0",5.969,1147.89,18
