Iteration,Customer number at node,Moving from node,To node,Distance traveled,Arrival time,Ready time at node,Start service at node,End service at node,Due date at node,Difference between End service and Due Date,Vehicle capacity before departure,Vehicle capacity after departure,Total travel distance,Number of vehicles used,Penalty,Nodes visited
0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1236.0,1236.0,0,200,0.0,,0,"0, 0"
0,10.0,0,20,10.0,10.0,10.0,10.0,100.0,73.0,-27.0,10.0,190.0,10.0,,0,"0, 0, 20"
0,20.0,20,21,2.0,102.0,914.0,914.0,1004.0,965.0,-39.0,40.0,160.0,12.0,,0,"0, 0, 20, 21"
0,10.0,21,47,17.0,1021.0,1054.0,1054.0,1144.0,1127.0,-17.0,70.0,130.0,29.0,,0,"0, 0, 20, 21, 47"
0,0.0,47,0,18.03,1162.03,0.0,1162.03,1162.03,1236.0,73.97,0,200,47.03,,0,"0, 0, 20, 21, 47, 0"
0,40.0,0,25,15.13,15.13,169.0,169.0,259.0,224.0,-35.0,40.0,160.0,62.16,,0,"0, 0, 20, 21, 47, 0, 25"
0,10.0,25,1,25.61,284.61,912.0,912.0,1002.0,967.0,-35.0,90.0,110.0,87.77,,0,"0, 0, 20, 21, 47, 0, 25, 1"
0,10.0,1,49,37.12,1039.12,1001.0,1039.12,1129.12,1066.0,-63.12,110.0,90.0,124.89,,0,"0, 0, 20, 21, 47, 0, 25, 1, 49"
0,0.0,49,0,19.21,1148.33,0.0,1148.33,1148.33,1236.0,87.67,0,200,144.1,,0,"0, 0, 20, 21, 47, 0, 25, 1, 49, 0"
0,20.0,0,22,12.17,12.17,812.0,812.0,902.0,883.0,-19.0,20.0,180.0,156.27,,0,"0, 0, 20, 21, 47, 0, 25, 1, 49, 0, 22"
0,10.0,22,52,17.26,919.26,912.0,919.26,1009.26,969.0,-40.26,50.0,150.0,173.53,,0,"0, 0, 20, 21, 47, 0, 25, 1, 49, 0, 22, 52"
0,20.0,52,75,36.06,1045.32,997.0,1045.32,1135.32,1068.0,-67.32,80.0,120.0,209.59,,0,"0, 0, 20, 21, 47, 0, 25, 1, 49, 0, 22, 52, 75"
0,0.0,75,0,15.81,1151.13,0.0,1151.13,1151.13,1236.0,84.87,0,200,225.4,,0,"0, 0, 20, 21, 47, 0, 25, 1, 49, 0, 22, 52, 75, 0"
0,10.0,0,10,16.76,16.76,357.0,357.0,447.0,410.0,-37.0,10.0,190.0,242.16,,0,"0, 0, 20, 21, 47, 0, 25, 1, 49, 0, 22, 52, 75, 0, 10"
0,10.0,10,11,3.0,450.0,448.0,450.0,540.0,505.0,-35.0,30.0,170.0,245.16,,0,"0, 0, 20, 21, 47, 0, 25, 1, 49, 0, 22, 52, 75, 0, 10, 11"
0,30.0,11,2,10.05,550.05,825.0,825.0,915.0,870.0,-45.0,70.0,130.0,255.21,,0,"0, 0, 20, 21, 47, 0, 25, 1, 49, 0, 22, 52, 75, 0, 10, 11, 2"
0,10.0,2,69,35.0,950.0,916.0,950.0,1040.0,969.0,-71.0,110.0,90.0,290.21,,0,"0, 0, 20, 21, 47, 0, 25, 1, 49, 0, 22, 52, 75, 0, 10, 11, 2, 69"
